Cohort,Site,Characteristic,All,Control (label 0),ADHD (label 1)
include_holds,OHSU,"Mean FD (metadata scale), median [Q1, Q3]","0.165 [0.103, 0.228]; missing 0","0.115 [0.103, 0.218]; missing 0","0.173 [0.105, 0.273]; missing 0"
include_holds,OHSU,"Frames with FD > 0.2 (%), median [Q1, Q3]","21.6 [5.2, 40.9]; missing 0","10.5 [5.2, 39.0]; missing 0","23.4 [9.1, 58.4]; missing 0"
include_holds,OHSU,"Mean DVARS (metadata scale), median [Q1, Q3]","1.280 [1.218, 1.332]; missing 0","1.281 [1.216, 1.339]; missing 0","1.278 [1.225, 1.308]; missing 0"
include_holds,OHSU,"TIV (mL), mean (SD)",1526.9 (137.3); missing 0,1531.8 (129.5); missing 0,1519.1 (154.3); missing 0
include_holds,Peking_1,"Participants, n",50,34,16
include_holds,Peking_1,"Recorded male sex, n (%)",22 (44.0%),11 (32.4%),11 (68.8%)
include_holds,Peking_1,"Recorded female sex, n (%)",28 (56.0%),23 (67.6%),5 (31.2%)
include_holds,Peking_1,"Age (years), mean (SD)",10.94 (1.76); missing 0,11.02 (1.87); missing 0,10.76 (1.51); missing 0
include_holds,Peking_1,"Age (years), median [Q1, Q3]","10.42 [9.69, 11.98]; missing 0","10.42 [9.75, 11.98]; missing 0","10.46 [9.56, 11.38]; missing 0"
include_holds,Peking_1,"Mean FD (metadata scale), median [Q1, Q3]","0.122 [0.097, 0.147]; missing 0","0.106 [0.085, 0.130]; missing 0","0.145 [0.121, 0.191]; missing 0"
include_holds,Peking_1,"Frames with FD > 0.2 (%), median [Q1, Q3]","9.2 [4.4, 17.4]; missing 0","6.8 [1.8, 14.5]; missing 0","17.0 [9.9, 31.5]; missing 0"
include_holds,Peking_1,"Mean DVARS (metadata scale), median [Q1, Q3]","1.200 [1.128, 1.264]; missing 0","1.208 [1.142, 1.266]; missing 0","1.135 [1.114, 1.227]; missing 0"
include_holds,Peking_1,"TIV (mL), mean (SD)",1484.9 (123.4); missing 0,1478.9 (119.2); missing 0,1497.6 (135.1); missing 0
include_holds,Peking_2,"Participants, n",14,5,9
include_holds,Peking_2,"Recorded male sex, n (%)",14 (100.0%),5 (100.0%),9 (100.0%)
include_holds,Peking_2,"Recorded female sex, n (%)",0 (0.0%),0 (0.0%),0 (0.0%)
include_holds,Peking_2,"Age (years), mean (SD)",11.75 (1.80); missing 0,11.57 (1.62); missing 0,11.85 (1.97); missing 0
include_holds,Peking_2,"Age (years), median [Q1, Q3]","11.29 [10.23, 13.29]; missing 0","11.25 [11.17, 11.33]; missing 0","11.33 [10.00, 13.33]; missing 0"
include_holds,Peking_2,"Mean FD (metadata scale), median [Q1, Q3]","0.131 [0.100, 0.165]; missing 0","0.117 [0.107, 0.151]; missing 0","0.146 [0.099, 0.169]; missing 0"
include_holds,Peking_2,"Frames with FD > 0.2 (%), median [Q1, Q3]","12.3 [7.0, 23.5]; missing 0","7.7 [6.8, 18.7]; missing 0","15.3 [8.1, 24.7]; missing 0"
include_holds,Peking_2,"Mean DVARS (metadata scale), median [Q1, Q3]","1.172 [1.083, 1.196]; missing 0","1.196 [1.117, 1.204]; missing 0","1.161 [1.082, 1.184]; missing 0"
include_holds,Peking_2,"TIV (mL), mean (SD)",1581.9 (96.4); missing 0,1535.8 (83.0); missing 0,1607.6 (97.9); missing 0
include_holds,Peking_3,"Participants, n",6,3,3
include_holds,Peking_3,"Recorded male sex, n (%)",6 (100.0%),3 (100.0%),3 (100.0%)
include_holds,Peking_3,"Recorded female sex, n (%)",0 (0.0%),0 (0.0%),0 (0.0%)
include_holds,Peking_3,"Age (years), mean (SD)",12.83 (1.08); missing 0,12.89 (0.30); missing 0,12.78 (1.68); missing 0
include_holds,Peking_3,"Age (years), median [Q1, Q3]","12.96 [12.66, 13.13]; missing 0","12.92 [12.75, 13.04]; missing 0","13.00 [12.00, 13.66]; missing 0"
include_holds,Peking_3,"Mean FD (metadata scale), median [Q1, Q3]","0.131 [0.102, 0.163]; missing 0","0.094 [0.080, 0.109]; missing 0","0.170 [0.155, 0.178]; missing 0"
include_holds,Peking_3,"Frames with FD > 0.2 (%), median [Q1, Q3]","11.3 [5.7, 26.4]; missing 0","4.3 [2.6, 7.2]; missing 0","31.1 [21.7, 32.1]; missing 0"
include_holds,Peking_3,"Mean DVARS (metadata scale), median [Q1, Q3]","1.196 [1.148, 1.259]; missing 0","1.277 [1.206, 1.328]; missing 0","1.188 [1.143, 1.196]; missing 0"
include_holds,Peking_3,"TIV (mL), mean (SD)",1632.0 (92.5); missing 0,1679.2 (98.6); missing 0,1584.9 (70.9); missing 0
